mode,workers,episodes,sampling_time_s,aggregation_time_s,apply_time_s,total_time_s,finished_at_ts,finished_at,tb_log_dir
A,1,5000,159.5620244,1.081213474,3.86297965,169.5848238,1762401234,2025-11-06 12:53,runs\tb\A_w1_PARALLEL_LEARN
A,5,5000,94.34249091,0.648399591,1.039544582,98.44657397,1762401332,2025-11-06 12:55,runs\tb\A_w5_PARALLEL_LEARN
B,1,5000,43.32194567,6.070015669,14.46117949,68.65121269,1762401402,2025-11-06 12:56,runs\tb\B_w1_PARALLEL_LEARN
B,5,5000,17.12122488,0.843033552,1.176458597,23.53693271,1762401425,2025-11-06 12:57,runs\tb\B_w5_PARALLEL_LEARN
C,1,5000,50.22412205,4.125478745,18.05906606,78.3455472,1762401041,2025-11-06 12:50,runs\tb\C_w1_PARALLEL_LEARN
C,5,5000,15.2278738,0.816969872,1.7205019,22.17502522,1762401064,2025-11-06 12:51,runs\tb\C_w5_PARALLEL_LEARN
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"<Neural Network: 2 layers, 64 nodes>",,,,,Learning Time(s),,,,
,Simulation Location,Actor Location,Learner Location,Sampling Time(s),Compute Time(s),Aggregation Time(s),Total Time(s),,
Worker 1개,CPU,GPU,GPU,159.5620244,99.61787677,3.86297965,217.4859006,,
Worker 5개,,,,94.34249091,58.0326674,1.039544582,124.466089,,
Worker 1개,CPU,CPU,CPU,43.32194567,54.32080531,14.46117949,103.0324309,,
Worker 5개,,,,17.12122488,30.10654521,1.176458597,45.33907366,,
Worker 1개,CPU,CPU,GPU,50.22412205,119.1037161,18.05906606,171.7210965,,
Worker 5개,,,,15.2278738,55.13897276,1.7205019,70.8503046,,
,,,,,,,,,
"<Neural Network: 3 layers, 256 nodes>",,,,,Learning Time(s),,,,
,Simulation Location,Actor Location,Learner Location,Sampling Time(s),Compute Time(s),Aggregation Time(s),Total Time(s),,
Worker 1개,CPU,GPU,GPU,166.3823483,1.550162554,5.091697693,182.3508394,,
Worker 5개,,,,104.6925051,0.858915806,1.096059561,110.0247529,,
Worker 1개,CPU,CPU,CPU,50.3776226,9.246805191,11.64634252,76.53054976,,
Worker 5개,,,,19.21593332,1.048077345,1.300006151,26.17437625,,
Worker 1개,CPU,CPU,GPU,55.33926177,8.041693211,14.54405808,85.19762039,,
Worker 5개,,,,22.45350862,1.153878212,2.398158312,31.43304896,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
